Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1973.12,993.965567410004,
1974.01,981.092494478543,
1974.02,980.012293548757,
1974.03,946.659043462546,
1974.04,892.103398261747,
1974.05,1046.95621360648,
1974.06,1031.63367785072,
1974.07,1010.54034530713,
1974.08,990.292300617646,
1974.09,975.022487365492,
1974.10,954.673439005733,
1974.11,933.734890180634,
1974.12,1006.38282890994,
1975.01,976.31369431444,
1975.02,954.867061367993,
1975.03,940.089356846821,
1975.04,919.83117035682,
1975.05,1166.09925211223,
1975.06,1137.94525557049,
1975.07,1112.33836452857,
1975.08,1070.42984163964,
1975.09,1049.73092204992,
1975.10,1027.03403724884,
1975.11,1005.29786714834,
1975.12,988.303234803828,
1976.01,956.131703178668,
1976.02,912.508104534467,
1976.03,888.245653836837,
1976.04,861.683886127147,
1976.05,1190.92591174391,
1976.06,1166.66983287053,
1976.07,1136.41387247451,
1976.08,1107.82755461047,
1976.09,1076.79368282632,
1976.10,1046.57556538374,
1976.11,1013.2990848102,
1976.12,991.741969505877,
1977.01,952.197282108153,
1977.02,919.046118343481,
1977.03,890.381365896926,
1977.04,858.04031569644,
1977.05,1187.18117203377,
1977.06,1162.47783487516,
1977.07,1134.07632844508,
1977.08,1115.73628177617,
1977.09,1098.26650700932,
1977.10,1069.24727003549,
1977.11,1033.45107346968,
1977.12,1009.40772022538,
1978.01,973.226837630395,
1978.02,943.058841094944,
1978.03,913.513621632234,
1978.04,890.63711657584,
1978.05,1224.67826859612,
1978.06,1184.50484478763,
1978.07,1122.58313231891,
1978.08,1089.53567001122,
1978.09,1067.32557781122,
1978.10,1038.19462951614,
1978.11,1015.80161553856,
1978.12,995.35495176479,
1979.01,940.507360117987,
1979.02,914.325799297034,
1979.03,883.82103625823,
1979.04,854.344503925188,
1979.05,1220.60964741384,
1979.06,1185.06026199921,
1979.07,1124.78877233784,
1979.08,1063.28340616979,
1979.09,997.378571910726,
1979.10,949.307358696656,
1979.11,1156.9404857527,
1979.12,1107.05401041181,
1980.01,1038.88559887261,
1980.02,997.504645962405,
1980.03,948.890480839003,
1980.04,904.997866518023,
1980.05,1213.34109237631,
1980.06,1149.83164966286,
1980.07,1089.74277903047,
1980.08,1036.40011250275,
1980.09,992.216037472644,
1980.10,904.934667581902,
1980.11,1168.61133816623,
1980.12,1094.18662402371,
1981.01,1030.21535800779,
1981.02,971.413761184306,
1981.03,922.052380102403,
1981.04,865.456562240049,
1981.05,1199.4104114255,
1981.06,1141.51843203161,
1981.07,1074.85606790871,
1981.08,1012.82697939907,
1981.09,962.072315997547,
1981.10,919.573414446372,
1981.11,1231.37252867875,
1981.12,1165.10735931814,
1982.01,1091.80755717424,
1982.02,1024.44551987281,
1982.03,973.449367134401,
1982.04,921.408333739306,
1982.05,1202.76932387592,
1982.06,1122.58658934042,
1982.07,1055.14385115676,
